,Channel_name,Subscribers,Views,Total_videos,playlist_id,channel_ID
0,GameTunes,911000,170832928,38,UUbbCaPmU-AvYQFMu6KCnyjw,UCXHGoWpySS0smjanTUDa6Gw
1,jackfrags,3870000,1583949031,3221,UUw7FkXsC00lH2v2yB5LQoYA,UCbbCaPmU-AvYQFMu6KCnyjw
2,Spacys,1670000,458477667,159,UU_Bdb9Wng_QU8CQt2uiRl4A,UCXQ_4o9suWlKtAUUfqn9I5Q
3,MKIceAndFire,3080000,1630048350,6900,UU1bwliGvJogr7cWK0nT2Eag,UC_Bdb9Wng_QU8CQt2uiRl4A
4,SquishyMuffinz,1380000,239418919,1046,UU1JPEwMqLaI96qRUKNp3_ow,UCOt5hVyS2-nbcJ3_FP41Ajg
5,GTA Workshop,520000,177446683,1395,UUj5Y6sl23ln9PL6OiDTL7Gg,UCw7FkXsC00lH2v2yB5LQoYA
6,Android Rakun,339000,105641643,1319,UUKnjAnKEADku90Zmi21aXKg,UC7bxtst_qd-STxMecToKJDw
7,Top Apex Plays,442000,175777234,1063,UURf_VKcYH_8sha9rb1--erA,UChnN9MPURwKV2PbEoT2vhTQ
8,randomfrankp,2090000,433385778,1105,UUhnN9MPURwKV2PbEoT2vhTQ,UC56nLb00cLwLY6afw6JaLlQ
9,Nick930,473000,183567482,701,UU-EWIqLzm4ttojYUAOSht9A,UC1bwliGvJogr7cWK0nT2Eag
10,Aculite,1210000,271571962,811,UU7bxtst_qd-STxMecToKJDw,UCj5Y6sl23ln9PL6OiDTL7Gg
11,Mr. Fruit,2180000,984699921,3782,UUV96ER3MAI1S81HH6l9wwbQ,UCV96ER3MAI1S81HH6l9wwbQ
12,PUBG TV,2450000,579385562,690,UUXQ_4o9suWlKtAUUfqn9I5Q,UCQvqWrkEHXWoOeocjiw8_KA
13,Tomographic,527000,85079366,407,UUOt5hVyS2-nbcJ3_FP41Ajg,UC-EWIqLzm4ttojYUAOSht9A
14,Xpertgamingtech,2560000,660765417,397,UUQvqWrkEHXWoOeocjiw8_KA,UCKnjAnKEADku90Zmi21aXKg
15,hanedafz,1490000,436301287,286,UUhICIMc2Xuf1A20WEixa5Iw,UCRf_VKcYH_8sha9rb1--erA
16,GameToons Gaming,1430000,439700264,156,UUXHGoWpySS0smjanTUDa6Gw,UCxE76PmXA8V_5wHOWGpRrmA
17,Madd Trevor,1420000,530389000,171,UU56nLb00cLwLY6afw6JaLlQ,UC1JPEwMqLaI96qRUKNp3_ow
18,iTemp Plays,1080000,301132799,1825,UUxE76PmXA8V_5wHOWGpRrmA,UCmWuTGgH0ePB33biS1OA-BQ
19,Modest Pelican,1790000,288748064,342,UUmWuTGgH0ePB33biS1OA-BQ,UChICIMc2Xuf1A20WEixa5Iw
